generation,pathfinder_fitness,num_food
396,526.097927,0
397,451.361081,0
398,807.824166,0
399,56.300474,0
400,47.935848,0
401,824.869212,0
402,430.785722,0
403,94.613025,0
404,631.683941,0
405,631.273986,0
406,162.623665,0
407,536.861799,0
408,68.353744,0
409,542.365920,0
410,692.415435,0
411,877.181164,1
412,660.977558,1
413,609.410033,1
414,628.311663,0
415,839.937666,1
416,439.967138,1
417,57.106975,0
418,695.439043,0
419,800.953946,0
420,665.879897,0
421,853.640689,0
422,605.288879,1
423,594.972312,0
424,701.095461,0
425,658.798204,0
426,890.226380,0
427,931.987665,1
428,689.422555,0
429,466.070710,0
430,836.139820,0
431,565.279989,1
432,40.651959,0
433,40.298978,0
434,256.728059,0
